
Data was saved using Vista Data Vision
Saved: 2016-05-31 14:47:34

Time Period: 2011-01-01 00:00:00 - 2015-12-31 00:00:00

Time,Oceano Dunes: VWD 10m[°],Oceano Dunes: SWS 10m[m/s]
2011-02-23 15:00:00,238.1,0.76
2011-02-23 16:00:00,297.7,9.31
2011-02-23 17:00:00,297.1,9.07
2011-02-23 18:00:00,297.3,9.42
2011-02-23 19:00:00,303.3,8.73
2011-02-23 20:00:00,312.4,5.354
2011-02-23 21:00:00,308.3,4.153
2011-02-23 22:00:00,335.6,2.553
2011-02-23 23:00:00,30.19,2.482
2011-02-24 00:00:00,44.87,2.675
2011-02-24 01:00:00,36.04,2.659
2011-02-24 02:00:00,37.12,2.607
2011-02-24 03:00:00,45.73,2.935
2011-02-24 04:00:00,51.1,2.721
2011-02-24 05:00:00,69.23,2.332
2011-02-24 06:00:00,90.4,2.148
2011-02-24 07:00:00,91,2.2
2011-02-24 08:00:00,115.8,2.344
2011-02-24 09:00:00,279.8,0.492
2011-02-24 10:00:00,35.95,3.038
2011-02-24 11:00:00,293.6,3.509
2011-02-24 12:00:00,267.1,3.497
2011-02-24 13:00:00,266,5.629
2011-02-24 14:00:00,279.1,8.27
2011-02-24 15:00:00,286.9,9.41
2011-02-24 16:00:00,289.7,8.68
2011-02-24 17:00:00,287.6,8.18
2011-02-24 18:00:00,293,8.42
2011-02-24 19:00:00,300.1,7.357
2011-02-24 20:00:00,304.6,5.676
2011-02-24 21:00:00,315.2,4.218
2011-02-24 22:00:00,350.8,1.814
2011-02-24 23:00:00,129.2,2.427
2011-02-25 00:00:00,132,2.83
2011-02-25 01:00:00,139,2.903
2011-02-25 02:00:00,144.2,2.47
2011-02-25 03:00:00,120.4,3.585
2011-02-25 04:00:00,138.1,4.365
2011-02-25 05:00:00,132.4,4.444
2011-02-25 06:00:00,127.8,4.913
2011-02-25 07:00:00,151.1,4.362
2011-02-25 08:00:00,187.5,6.966
2011-02-25 09:00:00,175.2,5.714
2011-02-25 10:00:00,177.4,5.803
2011-02-25 11:00:00,192.2,8.5
2011-02-25 12:00:00,201.2,9.96
2011-02-25 13:00:00,216.9,11.88
2011-02-25 14:00:00,215.2,12.15
2011-02-25 15:00:00,209.7,10.17
2011-02-25 16:00:00,249.6,8.65
2011-02-25 17:00:00,261.9,8.1
2011-02-25 18:00:00,271.5,7.738
2011-02-25 19:00:00,264,6.403
2011-02-25 20:00:00,270.8,4.91
2011-02-25 21:00:00,274.2,2.238
2011-02-25 22:00:00,341,3.68
2011-02-25 23:00:00,348.2,4.105
2011-02-26 00:00:00,8.32,3.562
2011-02-26 01:00:00,0.04,4.748
2011-02-26 02:00:00,4.612,4.115
2011-02-26 03:00:00,30.78,2.038
2011-02-26 04:00:00,42.41,2.676
2011-02-26 05:00:00,57.48,2.503
2011-02-26 06:00:00,63.36,2.134
2011-02-26 07:00:00,46.96,2.467
2011-02-26 08:00:00,60.45,2.32
2011-02-26 09:00:00,99.8,1.201
2011-02-26 10:00:00,14.38,2.23
