# State Code or Tribal Indicator (TT),County Code or Tribal Code,Site_ID Number,Parameter Code,POC,Design Value Year,Exceptional Data Type,Pollutant Standard,DV Standard Statistic,DV Standard Level,Units Code,Units Name,STREET ADDRESS,Site Latitude,Site Longitude,Design Value Year:  Valid Days,Design Value Year:  Missing Days Assumed Less Than Standard,Design Value Year:  Required Days,Design Value Year:  Percent Complete,Design Value Year:  4th Maximum,Design Value Year:  Certification,Year - 1:  Valid Days,Year - 1:  Missing Days Assumed Less Than Standard,Year - 1:  Required Days,Year - 1:  Percent Complete,Year - 1:  4th Maximum,Year - 1:  Certification,Year - 2:  Valid Days,Year - 2:  Missing Days Assumed Less Than Standard,Year - 2:  Required Days,Year - 2:  Percent Complete,Year - 2:  4th Maximum,Year - 2:  Certification,3-Year Percent Complete,3-Year Design Value,3-Year DV Validity Indicator
#  Warning: Computed design values represent snapshot of data at time report was run and this may be incomplete data.
#  Report Date:  2016-06-01
06,079,0005,44201,1,2006,0,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.6316288366338,-120.690977495172,360,0,365,99,.072,,365,0,365,100,.071,,366,0,366,100,.07,Y,100,.071,Y
06,079,0005,44201,1,2007,0,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.6316288366338,-120.690977495172,363,0,365,99,.068,,360,0,365,99,.072,,365,0,365,100,.071,,99,.07,Y
06,079,0005,44201,1,2008,0,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.6316288366338,-120.690977495172,244,0,366,67,.065,,363,0,365,99,.068,,360,0,365,99,.072,,88,.068,N
06,079,0005,44201,1,2009,0,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.6316288366338,-120.690977495172,358,0,365,98,.06,,244,0,366,67,.065,,363,0,365,99,.068,,88,.064,N
06,079,0005,44201,1,2010,0,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.6316288366338,-120.690977495172,360,0,365,99,.069,,358,0,365,98,.06,,244,0,366,67,.065,,88,.064,N
06,079,0005,44201,1,2011,0,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.6316288366338,-120.690977495172,361,0,365,99,.063,Y,360,0,365,99,.069,,358,0,365,98,.06,,99,.064,Y
06,079,0005,44201,1,2012,0,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.6316288366338,-120.690977495172,361,0,366,99,.066,,361,0,365,99,.063,Y,360,0,365,99,.069,,99,.066,Y
06,079,0005,44201,1,2013,0,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.6316288366338,-120.690977495172,363,0,365,99,.061,,361,0,366,99,.066,,361,0,365,99,.063,Y,99,.063,Y
06,079,0005,44201,1,2014,0,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.6316288366338,-120.690977495172,358,0,365,98,.058,S,363,0,365,99,.061,,361,0,366,99,.066,,99,.061,Y
06,079,0005,44201,1,2015,0,Ozone 8-Hour 2008,Annual 4th Maximum,.075,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.6316288366338,-120.690977495172,363,0,365,99,.065,S,358,0,365,98,.058,S,363,0,365,99,.061,,99,.061,Y
